Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure/Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,satisfaction
1,0,46,1,0,413,4,3,4,3,2,4,2,2,3,3,4,2,4,2,0
0,1,21,1,2,2279,2,2,2,2,5,5,5,5,4,2,3,5,4,5,1
1,1,16,0,2,937,3,5,3,4,5,3,5,5,1,3,5,4,4,5,0
1,1,44,1,2,2192,3,3,3,3,4,5,5,4,4,5,4,4,4,3,1
0,1,40,1,2,2940,3,3,3,3,4,5,4,5,5,5,5,2,5,5,1
0,1,40,0,0,368,3,2,3,3,1,3,1,1,1,3,4,3,3,1,0
1,0,37,1,2,923,2,2,2,3,2,2,2,2,3,3,4,4,5,2,1
1,0,31,1,2,1749,4,4,4,1,1,4,1,1,3,4,3,5,5,1,0
0,1,58,0,2,1440,5,4,5,4,4,5,4,5,5,5,3,3,5,5,1
0,0,40,1,2,184,2,2,2,1,3,2,3,3,4,2,4,4,5,3,0
0,1,24,1,1,1448,3,2,2,2,3,3,3,3,4,5,4,2,3,3,0
0,1,41,1,0,308,1,5,5,5,1,1,1,1,2,3,4,2,3,1,0
1,1,7,0,0,584,3,5,3,2,4,3,3,4,3,4,4,4,5,4,0
1,1,61,0,0,236,3,4,3,2,3,4,4,2,2,3,2,5,2,3,0
1,0,22,1,0,533,2,0,2,4,3,2,2,3,2,4,3,4,3,3,0
0,1,21,0,2,715,3,5,3,5,2,3,2,2,4,5,5,3,5,2,0
0,1,46,1,2,1499,1,5,5,5,3,4,4,1,1,1,1,4,1,2,0
0,1,46,1,0,987,2,5,5,5,3,2,3,3,3,5,4,5,3,3,1
0,1,34,1,2,809,5,5,5,5,5,3,3,5,5,5,5,5,5,4,1
1,0,29,1,2,1068,3,3,3,3,2,3,2,2,3,5,5,3,4,2,0
0,0,38,1,2,270,3,3,3,2,5,3,5,5,5,4,5,5,4,5,0
1,0,16,1,0,226,1,3,1,3,2,1,2,2,1,3,4,4,4,2,0
1,1,60,1,2,264,0,0,0,2,4,1,5,3,3,3,3,2,3,2,1
0,1,32,1,2,2485,2,1,1,1,2,2,2,2,4,4,4,4,3,2,0
1,1,42,1,2,3065,4,4,4,4,4,4,5,3,3,4,3,5,3,4,1
1,0,26,1,2,184,0,5,0,4,1,0,1,1,5,2,4,3,5,1,1
1,1,58,1,2,3652,2,2,2,2,4,4,5,3,3,3,3,4,3,3,1
1,1,44,1,2,687,2,2,2,2,2,4,4,5,5,5,5,4,5,3,1
1,1,45,1,2,2329,5,5,5,5,3,5,4,3,3,3,3,3,3,4,1
1,1,13,0,0,236,1,1,1,2,4,1,4,4,4,1,3,2,3,4,0
1,1,55,1,0,224,5,1,1,1,5,2,1,5,5,5,5,4,5,5,1
1,1,34,1,2,1471,5,5,5,5,3,5,5,4,4,4,4,3,4,4,1
0,1,27,1,2,3209,2,2,4,2,3,3,3,3,5,3,4,5,4,3,1
0,1,52,1,2,153,2,2,2,2,2,5,4,4,4,4,5,4,4,5,1
0,1,60,1,2,2165,4,4,4,4,3,4,4,5,5,5,5,3,5,4,1
1,1,37,1,0,224,2,4,4,4,2,2,2,2,1,1,4,3,4,2,0
1,1,63,0,0,912,2,2,2,3,2,3,3,3,3,2,3,2,3,2,0
1,0,21,1,0,481,4,3,4,1,4,4,4,4,4,5,3,5,2,4,1
1,1,66,0,0,507,2,4,2,3,2,4,5,2,2,2,2,3,2,5,0
0,1,9,1,2,1576,2,2,2,2,5,5,5,5,3,3,5,5,4,5,1
0,1,38,1,0,557,2,2,2,2,2,2,2,2,2,4,4,3,3,2,0
1,1,60,1,2,3666,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1
1,1,29,1,2,3682,4,4,4,4,4,4,4,4,5,1,1,2,2,4,1
1,1,34,0,0,1068,4,5,4,4,5,4,5,5,5,2,5,4,4,5,0
1,0,25,1,0,954,1,1,1,3,4,1,4,4,3,5,4,2,1,4,0
0,0,38,1,0,409,3,4,3,3,2,3,3,2,1,1,3,4,3,2,0
0,1,12,1,2,1047,2,2,2,2,4,4,4,4,5,4,5,3,4,4,1
1,1,28,0,0,192,2,5,2,4,5,2,3,5,3,3,4,3,5,5,0
1,1,46,0,0,1120,1,1,1,3,4,3,3,4,4,1,1,2,4,1,0
1,1,49,1,2,590,3,5,3,3,5,4,4,5,5,5,5,3,5,5,1
1,1,7,0,0,236,3,4,3,4,4,3,4,4,3,5,5,4,4,4,0
0,1,54,1,2,2374,5,5,5,5,5,4,5,5,5,4,5,4,5,4,1
0,0,22,1,0,325,5,5,5,4,3,5,3,3,2,4,4,4,1,3,1
1,1,34,1,2,1825,2,2,1,2,2,2,2,4,4,4,4,4,4,4,1
0,0,48,1,2,1235,3,3,3,3,4,3,4,4,3,5,4,5,4,4,1
0,1,46,0,0,647,3,5,3,1,4,3,4,4,4,5,4,4,3,4,0
0,1,44,1,2,251,1,1,1,1,2,4,5,4,4,4,4,5,4,4,1
1,1,19,1,2,2475,4,4,4,4,4,4,4,4,5,4,1,3,4,4,1
0,0,28,1,2,931,1,2,2,2,4,2,4,4,3,4,5,3,5,4,0
0,1,7,0,0,438,2,5,2,3,4,2,2,4,5,4,4,4,4,4,0
1,0,23,1,0,248,3,0,3,3,3,3,4,3,5,4,3,2,4,3,0
1,1,33,0,0,640,2,5,2,4,2,2,1,2,3,4,4,5,5,2,0
1,1,18,0,0,822,4,4,4,3,5,4,5,5,3,3,5,5,5,5,1
1,1,70,1,2,3598,3,3,5,3,3,5,4,3,3,3,3,4,3,3,1
0,1,43,1,2,2419,1,1,1,1,5,5,5,3,5,5,4,5,4,5,1
0,1,69,0,0,936,1,4,1,1,3,1,3,3,5,5,5,3,5,3,0
1,1,20,0,0,2218,3,3,3,1,3,3,3,3,2,4,4,5,5,3,0
1,1,9,0,0,164,3,2,3,4,1,3,1,1,2,1,4,4,4,1,0
0,1,45,0,0,1671,4,1,4,4,1,4,1,1,3,4,3,2,3,1,0
0,1,63,0,0,432,5,1,5,3,3,5,3,3,4,1,4,2,3,3,1
0,1,20,0,2,650,4,5,4,5,2,4,2,2,4,1,5,3,4,2,0
1,1,60,1,2,189,3,3,3,3,3,5,4,5,5,5,4,5,5,4,1
0,0,42,1,2,406,5,5,5,4,4,5,4,4,3,2,4,3,5,4,1
0,1,38,0,2,1121,1,5,1,2,5,5,4,2,2,1,2,3,2,4,0
1,1,69,0,0,986,4,5,4,1,2,5,4,3,3,4,3,4,3,3,1
1,1,40,1,2,448,4,4,4,4,5,4,4,5,5,5,5,3,5,5,1
1,1,60,1,2,1921,3,3,3,3,4,5,5,5,5,5,5,4,5,4,1
1,1,68,0,0,304,2,3,2,2,3,3,2,5,5,2,5,2,5,4,0
1,1,63,0,0,2218,3,4,3,2,3,4,4,3,3,3,5,5,3,5,0
1,1,34,1,2,425,3,3,3,3,2,3,3,3,3,3,3,3,3,3,0
0,1,32,0,0,288,3,5,3,3,5,3,5,5,3,5,5,3,5,5,0
1,1,28,1,2,2218,3,3,3,3,4,4,4,4,3,5,4,5,5,4,1
1,1,47,1,2,3240,1,1,1,1,2,4,5,4,4,4,4,4,4,3,1
1,1,44,1,2,2183,2,2,3,2,4,4,5,5,5,5,5,4,5,4,1
1,1,23,1,2,3571,4,3,5,3,4,4,4,4,3,4,3,4,4,4,0
1,1,22,0,0,861,4,5,4,3,4,4,4,4,5,3,4,4,5,4,0
0,1,69,0,0,2583,4,5,4,4,4,4,2,4,5,5,4,2,5,4,0
1,0,35,1,2,200,3,3,3,4,1,3,1,1,4,5,4,3,4,1,0
0,1,46,0,0,813,4,1,4,1,5,4,5,5,3,4,2,4,1,5,0
1,1,68,0,1,191,3,4,0,5,3,5,4,1,1,0,1,4,1,5,0
1,1,69,0,0,862,2,4,2,1,2,4,4,3,3,2,3,3,3,4,0
0,1,33,0,0,425,4,0,4,1,5,4,5,5,3,5,5,3,4,5,0
1,1,44,1,2,2921,0,0,0,1,3,5,4,4,4,3,3,4,4,5,1
0,1,37,0,0,192,3,4,3,3,1,3,1,1,4,4,4,3,5,1,0
0,1,18,1,0,950,4,1,1,1,4,4,1,4,3,5,4,2,3,4,0
0,1,46,0,0,236,3,5,3,5,4,3,4,4,4,2,5,3,4,4,0
1,1,36,1,0,843,4,5,5,5,4,4,4,4,5,1,2,5,1,4,1
1,1,30,0,0,909,4,4,4,3,3,4,3,3,4,2,3,3,4,3,0
1,1,44,1,2,1416,1,1,1,1,5,1,3,4,4,4,4,5,4,3,1
0,1,46,1,0,546,4,2,2,2,4,4,4,5,2,2,2,4,5,4,1
1,1,46,1,0,594,3,5,5,5,2,1,2,3,3,3,3,4,3,3,1
0,1,41,0,0,712,3,5,3,5,4,3,4,4,5,5,4,3,5,4,0
0,1,46,1,2,1046,1,1,1,1,2,5,5,5,5,5,5,3,5,3,1
1,1,31,1,2,2254,1,3,3,3,1,1,1,1,1,1,3,4,3,1,0
0,1,40,1,2,1891,5,4,5,5,2,4,5,5,5,5,5,3,5,3,1
0,1,60,1,2,3570,5,5,5,5,3,5,5,5,5,5,5,4,5,4,1
0,1,36,1,0,363,5,2,2,2,5,5,5,5,1,2,4,5,3,5,1
0,1,67,1,0,280,5,2,1,2,5,5,5,5,1,3,3,5,2,5,1
0,1,9,0,0,1041,3,4,3,2,3,2,2,4,3,5,5,2,4,2,0
1,0,29,1,0,551,2,1,2,3,1,2,1,1,2,2,3,2,3,1,0
0,1,47,1,0,771,5,4,1,4,5,5,5,5,4,1,4,4,5,5,1
1,1,29,1,2,1475,1,5,5,5,1,1,1,1,1,3,3,3,3,1,0
1,1,44,1,2,2961,4,4,4,4,5,4,5,4,4,4,4,3,4,5,1
0,1,44,1,2,2182,3,5,5,5,2,3,4,3,3,3,3,3,3,2,0
0,0,10,1,2,731,5,4,5,3,2,5,2,2,5,5,5,5,5,2,1
1,1,41,1,2,1686,1,1,1,1,4,4,4,5,5,5,5,4,5,3,1
0,1,17,1,2,1642,2,2,2,2,2,3,2,2,3,5,5,4,5,2,1
1,1,26,1,1,448,1,1,2,1,1,1,1,1,1,3,3,2,4,1,0
0,0,34,1,2,944,2,2,2,2,4,2,4,4,4,4,5,3,4,4,0
0,0,28,1,0,1218,3,4,4,4,1,4,1,1,4,2,3,3,4,1,0
1,1,28,0,0,2457,4,4,4,2,1,4,1,1,5,5,5,4,5,1,0
1,1,59,1,2,2721,3,3,3,3,2,4,4,5,5,5,5,5,5,3,1
1,0,22,1,0,604,4,3,4,5,4,4,4,4,3,4,4,4,3,4,0
0,1,26,1,0,573,3,5,5,5,3,3,1,3,3,3,2,3,3,3,0
0,1,10,0,0,945,3,5,4,1,2,4,2,2,5,2,1,5,5,2,0
1,1,48,1,2,2624,3,3,3,3,2,2,1,4,4,4,4,2,4,1,1
0,1,19,0,0,337,2,5,2,3,5,2,5,5,4,5,3,5,4,5,0
1,1,35,0,0,584,3,5,3,2,1,3,1,1,3,3,4,4,5,1,0
0,1,28,1,2,3147,4,4,4,4,5,5,5,5,4,4,4,3,5,5,1
0,1,29,0,0,200,3,5,0,2,2,0,2,2,4,4,5,5,4,2,0
0,1,12,0,0,1411,1,5,1,1,4,1,4,4,5,3,4,3,5,4,0
0,1,55,1,2,569,3,3,3,3,5,4,4,5,5,5,5,5,5,4,1
0,1,26,0,0,192,3,4,0,4,3,0,5,3,3,4,5,4,5,3,0
0,1,28,1,2,551,1,1,5,1,5,5,5,5,3,2,4,3,5,5,1
1,1,30,0,0,1020,1,2,0,3,5,0,5,5,4,1,3,4,3,5,0
1,0,29,1,2,1180,2,2,2,1,4,2,4,4,4,5,5,3,5,4,0
1,1,26,0,0,227,5,5,5,2,1,5,1,1,3,2,5,4,5,1,1
0,0,42,1,2,351,3,3,3,4,2,3,2,2,3,3,3,4,4,2,0
1,1,14,0,0,725,4,4,4,2,4,4,1,4,4,1,3,4,1,4,0
0,1,49,1,0,402,2,2,2,2,2,2,2,2,2,1,4,2,4,2,0
1,1,46,1,2,3255,4,4,2,4,4,5,5,4,4,4,4,5,4,4,1
0,1,22,1,2,954,1,1,1,1,5,5,5,5,4,1,5,5,5,5,1
